Operating Expenses,I. Cost of Goods Sold (COGS),FY25 Amount (INR Lakhs),FY24 Amount (INR Lakhs)
,Raw Materials Consumed,68500.5,62100.2
,Changes in Inventories,-1384.5,-1846.3
,COGS Subtotal,,
Operating Expenses,II. Employee Benefits,,
,Salaries Wages & Bonus,3105.0,2780.5
,PF & Gratuity Contributions,215.5,195.2
,Staff Welfare Expenses,129.5,124.3
Operating Expenses,III. Other Administrative & Selling,,
,Power & Fuel,955.4,880.6
,Repairs & Maintenance,420.2,395.0
,Freight Outward,310.8,298.4
,Insurance,185.0,172.0
,Professional Fees,140.5,128.0
